Year,Player,Team,League
2013,Max Scherzer,Detroit,AL
2012,David Price,Tampa Bay,AL
2011,Justin Verlander *,Detroit,AL
2010,Felix Hernandez,Seattle,AL
2009,Zack Greinke,Kansas City,AL
2008,Cliff Lee,Cleveland,AL
2007,C.C. Sabathia,Cleveland,AL
2006,Johan Santana *,Minnesota,AL
2005,Bartolo Colon,Los Angeles,AL
2004,Johan Santana *,Minnesota,AL
2003,Roy Halladay,Toronto,AL
2002,Barry Zito,Oakland,AL
2001,Roger Clemens,New York,AL
2000,Pedro Martinez *,Boston,AL
1999,Pedro Martinez *,Boston,AL
1998,Roger Clemens *,Toronto,AL
1997,Roger Clemens,Toronto,AL
1996,Pat Hentgen,Toronto,AL
1995,Randy Johnson,Seattle,AL
1994,David Cone,Kansas City,AL
1993,Jack McDowell,Chicago,AL
1992,Dennis Eckersley,Oakland,AL
1991,Roger Clemens,Boston,AL
1990,Bob Welch,Oakland,AL
1989,Bret Saberhagen,Kansas City,AL
1988,Frank Viola,Minnesota,AL
1987,Roger Clemens,Boston,AL
1986,Roger Clemens *,Boston,AL
1985,Bret Saberhagen,Kansas City,AL
1984,Willie Hernandez,Detroit,AL
1983,LaMarr Hoyt,Chicago,AL
1982,Pete Vuckovich,Milwaukee,AL
1981,Rollie Fingers,Milwaukee,AL
1980,Steve Stone,Baltimore,AL
1979,Mike Flanagan,Baltimore,AL
1978,Ron Guidry *,New York,AL
1977,Sparky Lyle,New York,AL
1976,Jim Palmer,Baltimore,AL
1975,Jim Palmer,Baltimore,AL
1974,Jim Hunter,Oakland,AL
1973,Jim Palmer,Baltimore,AL
1972,Gaylord Perry,Cleveland,AL
1971,Vida Blue,Oakland,AL
1970,Jim Perry,Minnesota,AL
1969,Mike Cuellar,Baltimore,AL
1969,Denny McLain,Detroit,AL
1968,Denny McLain *,Detroit,AL
1967,Jim Lonborg,Boston,AL
2013,Clayton Kershaw,Los Angeles,NL
2012,R.A. Dickey,New York,NL
2011,Clayton Kershaw,Los Angeles,NL
2010,Roy Halladay *,Philadelphia,NL
2009,Tim Lincecum,San Francisco,NL
2008,Tim Lincecum,San Francisco,NL
2007,Jake Peavy *,San Diego,NL
2006,Brandon Webb,Arizona,NL
2005,Chris Carpenter,St. Louis,NL
2004,Roger Clemens,Houston,NL
2003,Eric Gagne,Los Angeles,NL
2002,Randy Johnson,Arizona,NL
2001,Randy Johnson,Arizona,NL
2000,Randy Johnson,Arizona,NL
1999,Randy Johnson,Arizona,NL
1998,Tom Glavine,Atlanta,NL
1997,Pedro Martinez,Montreal,NL
1996,John Smoltz,Atlanta,NL
1995,Greg Maddux *,Atlanta,NL
1994,Greg Maddux *,Atlanta,NL
1993,Greg Maddux,Atlanta,NL
1992,Greg Maddux,Chicago,NL
1991,Tom Glavine,Atlanta,NL
1990,Doug Drabek,Pittsburgh,NL
1989,Mark Davis,San Diego,NL
1988,Orel Hershiser *,Los Angeles,NL
1987,Steve Bedrosian,Philadelphia,NL
1986,Mike Scott,Houston,NL
1985,Dwight Gooden,New York,NL
1984,Rick Sutcliffe *,Chicago,NL
1983,John Denny,Philadelphia,NL
1982,Steve Carlton,Philadelphia,NL
1981,Fernando Valenzuela,Los Angeles,NL
1980,Steve Carlton,Philadelphia,NL
1979,Bruce Sutter,Chicago,NL
1978,Gaylord Perry,San Diego,NL
1977,Steve Carlton *,Philadelphia,NL
1976,Randy Jones,San Diego,NL
1975,Tom Seaver,New York,NL
1974,Mike Marshall,Los Angeles,NL
1973,Tom Seaver,New York,NL
1972,Steve Carlton *,Philadelphia,NL
1971,Ferguson Jenkins,Chicago,NL
1970,Bob Gibson,St. Louis,NL
1969,Tom Seaver,New York,NL
1968,Bob Gibson *,St. Louis,NL
1967,Mike McCormick,San Francisco,NL
1966,Sandy Koufax *,Los Angeles,ML
1965,Sandy Koufax *,Los Angeles,ML
1964,Dean Chance,Los Angeles,ML
1963,Sandy Koufax *,Los Angeles,ML
1962,Don Drysdale,Los Angeles,ML
1961,Whitey Ford,New York,ML
1960,Vernon Law,Pittsburgh,ML
1959,Early Wynn,Chicago,ML
1958,Bob Turley,New York,ML
1957,Warren Spahn,Milwaukee,ML
1956,Don Newcombe,Brooklyn,ML
