Name,Year,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
A.J. Pierzynski,2006,,0,,,,,,,,,,,,,,,,
A.J. Pierzynski,2002,,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Boone,2003,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cook,2008,,1,,,,,,,,,,,,,,,,
Aaron Crow,2011,,0,,,,,,,,,,,,,,,,
Aaron Hill,2009,as 2B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Robinson,1947,,0,,,,,,,,,,,,,,,,
Aaron Rowand,2007,,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aaron Sele,2000,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Aaron Sele,1998,,0,,,,,,,,,,,,,,,,
Ace Adams,1943,,0,,,,,,,,,,,,,,,,
Adam Dunn,2012,,0,,,,,,,,,,,,,,,,
Adam Dunn,2002,,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5
Adam Jones,2013,as CF,0,3,3,1,1,1,0,0,0,0,0,0,2,0.333,0.333,0.667,1
Adam Jones,2012,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Jones,2009,,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adam Wainwright,2013,,0,,,,,,,,,,,,,,,,
Adam Wainwright,2010,,1,,,,,,,,,,,,,,,,
Adrian Beltre,2012,as 3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Beltre,2011,as 3B,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Adrian Beltre,2010,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adrian Gonzalez,2011,as 1B,1,2,2,1,1,0,0,1,1,0,0,0,0,0.5,0.5,2,2.5
Adrian Gonzalez,2010,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Gonzalez,2009,,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,,
Adrian Gonzalez,2008,,1,4,3,0,1,0,0,0,1,0,0,0,1,0.333,0.25,0.333,0.583
Al Benton,1942,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Benton,1941,,0,,,,,,,,,,,,,,,,
Al Bumbry,1980,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Dark,1954,as SS,1,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4
Al Dark,1952,,0,,,,,,,,,,,,,,,,
Al Dark,1951,as SS,1,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4
Al Downing,1967,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Al Holland,1984,,0,,,,,,,,,,,,,,,,
Al Javery,1944,,0,,,,,,,,,,,,,,,,
Al Javery,1943,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Al Kaline,1962 (2),,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
Al Kaline,1961 (2),as RF,1,4,4,0,2,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1
Al Kaline,1961 (1),,1,2,2,1,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1
Al Kaline,1960 (2),,1,2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,2
Al Kaline,1960 (1),,1,2,2,2,1,0,0,1,2,0,0,0,0,0.5,0.5,2,2.5
Al Kaline,1959 (2),,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Al Kaline,1959 (1),as CF,1,3,3,1,1,0,0,1,1,0,0,0,1,0.333,0.333,1.333,1.667
Al Kaline,1974,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kaline,1971,,1,2,2,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1
Al Kaline,1967,,0,,,,,,,,,,,,,,,,
Al Kaline,1966,as CF,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Al Kaline,1965,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kaline,1964,,0,,,,,,,,,,,,,,,,
Al Kaline,1963,as RF,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Al Kaline,1958,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Al Kaline,1957,as RF,1,5,5,1,2,0,0,0,2,0,0,0,0,0.4,0.4,0.4,0.8
Al Kaline,1956,as RF,1,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Al Kaline,1955,as RF,1,6,4,0,1,1,0,0,0,0,0,1,2,0.25,0.5,0.5,1
