2013,,,
P,R.A. Dickey,Toronto,AL
C,Salvador Perez,Kansas City,AL
1B,Eric Hosmer,Kansas City,AL
2B,Dustin Pedroia,Boston,AL
3B,Manny Machado,Baltimore,AL
SS,J.J. Hardy,Baltimore,AL
LF,Alex Gordon,Kansas City,AL
CF,Adam Jones,Baltimore,AL
RF,Shane Victorino,Boston,AL
2012,,,AL
P,Jeremy Hellickson,Tampa Bay,AL
P,Jake Peavy,Chicago,AL
C,Matt Wieters,Baltimore,AL
1B,Mark Teixeira,New York,AL
2B,Robinson Cano,New York,AL
3B,Adrian Beltre,Texas,AL
SS,J.J. Hardy,Baltimore,AL
LF,Alex Gordon,Kansas City,AL
CF,Adam Jones,Baltimore,AL
RF,Josh Reddick,Oakland,AL
2011,,,AL
P,Mark Buehrle,Chicago,AL
C,Matt Wieters,Baltimore,AL
1B,Adrian Gonzalez,Boston,AL
2B,Dustin Pedroia,Boston,AL
3B,Adrian Beltre,Texas,AL
SS,Erick Aybar,Los Angeles,AL
LF,Alex Gordon,Kansas City,AL
CF,Jacoby Ellsbury,Boston,AL
RF,Nick Markakis,Baltimore,AL
2010,,,AL
P,Mark Buehrle,Chicago,AL
C,Joe Mauer,Minnesota,AL
1B,Mark Teixeira,New York,AL
2B,Robinson Cano,New York,AL
3B,Evan Longoria,Tampa Bay,AL
SS,Derek Jeter,New York,AL
OF,Carl Crawford,Tampa Bay,AL
OF,Franklin Gutierrez,Seattle,AL
OF,Ichiro Suzuki,Seattle,AL
2009,,,AL
P,Mark Buehrle,Chicago,AL
C,Joe Mauer,Minnesota,AL
1B,Mark Teixeira,New York,AL
2B,Placido Polanco,Detroit,AL
3B,Evan Longoria,Tampa Bay,AL
SS,Derek Jeter,New York,AL
OF,Torii Hunter,Los Angeles,AL
OF,Adam Jones,Baltimore,AL
OF,Ichiro Suzuki,Seattle,AL
2008,,,AL
P,Mike Mussina,New York,AL
C,Joe Mauer,Minnesota,AL
1B,Carlos Pena,Tampa Bay,AL
2B,Dustin Pedroia,Boston,AL
3B,Adrian Beltre,Seattle,AL
SS,Michael Young,Texas,AL
OF,Torii Hunter,Los Angeles,AL
OF,Ichiro Suzuki,Seattle,AL
OF,Grady Sizemore,Cleveland,AL
2007,,,AL
P,Johan Santana,Minnesota,AL
C,Ivan Rodriguez,Detroit,AL
1B,Kevin Youkilis,Boston,AL
2B,Placido Polanco,Detroit,AL
3B,Adrian Beltre,Seattle,AL
SS,Orlando Cabrera,Los Angeles,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
OF,Grady Sizemore,Cleveland,AL
,,,AL
2006,,,AL
P,Kenny Rogers,Detroit,AL
C,Ivan Rodriguez,Detroit,AL
1B,Mark Teixeira,Texas,AL
2B,Mark Grudzielanek,Kansas City,AL
3B,Eric Chavez,Oakland,AL
SS,Derek Jeter,New York,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
OF,Vernon Wells,Toronto,AL
2005,,,AL
P,Kenny Rogers,Texas,AL
C,Jason Varitek,Boston,AL
1B,Mark Teixeira,Texas,AL
2B,Orlando Hudson,Toronto,AL
3B,Eric Chavez,Oakland,AL
SS,Derek Jeter,New York,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
OF,Vernon Wells,Toronto,AL
2004,,,AL
P,Kenny Rogers,Texas,AL
C,Ivan Rodriguez,Detroit,AL
1B,Darin Erstad,Anaheim,AL
2B,Bret Boone,Seattle,AL
3B,Eric Chavez,Oakland,AL
SS,Derek Jeter,New York,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
OF,Vernon Wells,Toronto,AL
2003,,,AL
P,Mike Mussina,New York,AL
C,Bengie Molina,Anaheim,AL
1B,John Olerud,Seattle,AL
2B,Bret Boone,Seattle,AL
3B,Eric Chavez,Oakland,AL
SS,Alex Rodriguez,Texas,AL
OF,Mike Cameron,Seattle,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
2002,,,AL
P,Kenny Rogers,Texas,AL
C,Bengie Molina,Anaheim,AL
1B,John Olerud,Seattle,AL
2B,Bret Boone,Seattle,AL
3B,Eric Chavez,Oakland,AL
SS,Alex Rodriguez,Texas,AL
OF,Torii Hunter,Minnesota,AL
OF,Darin Erstad,Anaheim,AL
OF,Ichiro Suzuki,Seattle,AL
2001,,,AL
P,Mike Mussina,New York,AL
C,Ivan Rodriguez,Texas,AL
1B,Doug Mientkiewicz,Minnesota,AL
2B,Roberto Alomar,Cleveland,AL
3B,Eric Chavez,Oakland,AL
SS,Omar Vizquel,Cleveland,AL
OF,Mike Cameron,Seattle,AL
OF,Torii Hunter,Minnesota,AL
OF,Ichiro Suzuki,Seattle,AL
2000,,,AL
P,Kenny Rogers,Texas,AL
C,Ivan Rodriguez,Texas,AL
1B,John Olerud,Seattle,AL
2B,Roberto Alomar,Cleveland,AL
3B,Travis Fryman,Cleveland,AL
SS,Omar Vizquel,Cleveland,AL
OF,Darin Erstad,Anaheim,AL
OF,Bernie Williams,New York,AL
OF,Jermaine Dye,Kansas City,AL
1999,,,AL
P,Mike Mussina,Baltimore,AL
C,Ivan Rodriguez,Texas,AL
1B,Rafael Palmeiro,Texas,AL
2B,Roberto Alomar,Cleveland,AL
3B,Scott Brosius,New York,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Bernie Williams,New York,AL
OF,Shawn Green,Toronto,AL
1998,,,AL
P,Mike Mussina,Baltimore,AL
C,Ivan Rodriguez,Texas,AL
1B,Rafael Palmeiro,Baltimore,AL
2B,Roberto Alomar,Baltimore,AL
3B,Robin Ventura,Chicago,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Bernie Williams,New York,AL
OF,Jim Edmonds,Anaheim,AL
1997,,,AL
P,Mike Mussina,Baltimore,AL
C,Ivan Rodriguez,Texas,AL
1B,Rafael Palmeiro,Baltimore,AL
2B,Chuck Knoblauch,Minnesota,AL
3B,Matt Williams,Cleveland,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Jim Edmonds,Anaheim,AL
OF,Bernie Williams,New York,AL
1996,,,AL
P,Mike Mussina,Baltimore,AL
C,Ivan Rodriguez,Texas,AL
1B,J.T. Snow,California,AL
2B,Roberto Alomar,Baltimore,AL
3B,Robin Ventura,Chicago,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Kenny Lofton,Cleveland,AL
OF,Jay Buhner,Seattle,AL
1995,,,AL
P,Mark Langston,California,AL
C,Ivan Rodriguez,Texas,AL
1B,J.T. Snow,California,AL
2B,Roberto Alomar,Toronto,AL
3B,Wade Boggs,New York,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Kenny Lofton,Cleveland,AL
OF,Devon White,Toronto,AL
1994,,,AL
P,Mark Langston,California,AL
C,Ivan Rodriguez,Texas,AL
1B,Don Mattingly,New York,AL
2B,Roberto Alomar,Toronto,AL
3B,Wade Boggs,New York,AL
SS,Omar Vizquel,Cleveland,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Kenny Lofton,Cleveland,AL
OF,Devon White,Toronto,AL
1993,,,AL
P,Mark Langston,California,AL
C,Ivan Rodriguez,Texas,AL
1B,Don Mattingly,New York,AL
2B,Roberto Alomar,Toronto,AL
3B,Robin Ventura,Chicago,AL
SS,Omar Vizquel,Seattle,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Kenny Lofton,Cleveland,AL
OF,Devon White,Toronto,AL
1992,,,AL
P,Mark Langston,California,AL
C,Ivan Rodriguez,Texas,AL
1B,Don Mattingly,New York,AL
2B,Roberto Alomar,Toronto,AL
3B,Robin Ventura,Chicago,AL
SS,"Cal Ripken, Jr.",Baltimore,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Devon White,Toronto,AL
OF,Kirby Puckett,Minnesota,AL
1991,,,AL
P,Mark Langston,California,AL
C,Tony Pena,Boston,AL
1B,Don Mattingly,New York,AL
2B,Roberto Alomar,Toronto,AL
3B,Robin Ventura,Chicago,AL
SS,"Cal Ripken, Jr.",Baltimore,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Devon White,Toronto,AL
OF,Kirby Puckett,Minnesota,AL
1990,,,AL
P,Mike Boddicker,Boston,AL
C,"Sandy Alomar, Jr.",Cleveland,AL
1B,Mark McGwire,Oakland,AL
2B,Harold Reynolds,Seattle,AL
3B,Kelly Gruber,Toronto,AL
SS,Ozzie Guillen,Chicago,AL
OF,Ellis Burks,Boston,AL
OF,"Ken Griffey, Jr.",Seattle,AL
OF,Gary Pettis,Texas,AL
1989,,,AL
P,Bret Saberhagen,Kansas City,AL
C,Bob Boone,Kansas City,AL
1B,Don Mattingly,New York,AL
2B,Harold Reynolds,Seattle,AL
3B,Gary Gaetti,Minnesota,AL
SS,Tony Fernandez,Toronto,AL
OF,Gary Pettis,Detroit,AL
OF,Kirby Puckett,Minnesota,AL
OF,Devon White,California,AL
1988,,,AL
P,Mark Langston,Seattle,AL
C,Bob Boone,California,AL
1B,Don Mattingly,New York,AL
2B,Harold Reynolds,Seattle,AL
3B,Gary Gaetti,Minnesota,AL
SS,Tony Fernandez,Toronto,AL
OF,Devon White,California,AL
OF,Gary Pettis,California,AL
OF,Kirby Puckett,Minnesota,AL
1987,,,AL
P, Mark Langston,Seattle,AL
C,Bob Boone,California,AL
1B,Don Mattingly,New York,AL
2B,Frank White,Kansas City,AL
3B,Gary Gaetti,Minnesota,AL
SS,Tony Fernandez,Toronto,AL
OF,Jesse Barfield,Toronto,AL
OF,Kirby Puckett,Minnesota,AL
OF,Dave Winfield,New York,AL
1986,,,AL
P,Ron Guidry,New York,AL
C,Bob Boone,California,AL
1B,Don Mattingly,New York,AL
2B,Frank White,Kansas City,AL
3B,Gary Gaetti,Minnesota,AL
SS,Tony Fernandez,Toronto,AL
OF,Jesse Barfield,Toronto,AL
OF,Kirby Puckett,Minnesota,AL
OF,Gary Pettis,California,AL
1985,,,AL
P,Ron Guidry,New York,AL
C,Lance Parrish,Detroit,AL
1B,Don Mattingly,New York,AL
2B,Lou Whitaker,Detroit,AL
3B,George Brett,Kansas City,AL
SS,Alfredo Griffin,Oakland,AL
OF,Gary Pettis,California,AL
OF,Dave Winfield,New York,AL
OF,Dwight Evans,Boston,AL
OF,Dwayne Murphy,Oakland,AL
1984,,,AL
P,Ron Guidry,New York,AL
C,Lance Parrish,Detroit,AL
1B,Eddie Murray,Baltimore,AL
2B,Lou Whitaker,Detroit,AL
3B,Buddy Bell,Texas,AL
SS,Alan Trammell,Detroit,AL
OF,Dwight Evans,Boston,AL
OF,Dave Winfield,New York,AL
OF,Dwayne Murphy,Oakland,AL
1983,,,AL
P,Ron Guidry,New York,AL
C,Lance Parrish,Detroit,AL
1B,Eddie Murray,Baltimore,AL
2B,Lou Whitaker,Detroit,AL
3B,Buddy Bell,Texas,AL
SS,Alan Trammell,Detroit,AL
OF,Dwight Evans,Boston,AL
OF,Dave Winfield,New York,AL
OF,Dwayne Murphy,Oakland,AL
1982,,,AL
P,Ron Guidry,New York,AL
C,Bob Boone,California,AL
1B,Eddie Murray,Baltimore,AL
2B,Frank White,Kansas City,AL
3B,Buddy Bell,Texas,AL
SS,Robin Yount,Milwaukee,AL
OF,Dwight Evans,Boston,AL
OF,Dave Winfield,New York,AL
OF,Dwayne Murphy,Oakland,AL
1981,,,AL
P,Mike Norris,Oakland,AL
C,Jim Sundberg,Texas,AL
1B,Mike Squires,Chicago,AL
2B,Frank White,Kansas City,AL
3B,Buddy Bell,Texas,AL
SS,Alan Trammell,Detroit,AL
OF,Dwayne Murphy,Oakland,AL
OF,Dwight Evans,Boston,AL
OF,Rickey Henderson,Oakland,AL
1980,,,AL
P,Mike Norris,Oakland,AL
C,Jim Sundberg,Texas,AL
1B,Cecil Cooper,Milwaukee,AL
2B,Frank White,Kansas City,AL
3B,Buddy Bell,Texas,AL
SS,Alan Trammell,Detroit,AL
OF,Fred Lynn,Boston,AL
OF,Dwayne Murphy,Oakland,AL
OF, Willie Wilson,Kansas City,AL
1979,,,AL
P,Jim Palmer,Baltimore,AL
C,Jim Sundberg,Texas,AL
1B,Cecil Cooper,Milwaukee,AL
2B,Frank White,Kansas City,AL
3B,Buddy Bell,Texas,AL
SS,Rick Burleson,Boston,AL
OF,Dwight Evans,Boston,AL
OF,Sixto Lezcano,Milwaukee,AL
OF,Fred Lynn,Boston,AL
1978,,,AL
P,Jim Palmer,Baltimore,AL
C,Jim Sundberg,Texas,AL
1B,Chris Chambliss,New York,AL
2B,Frank White,Kansas City,AL
3B,Graig Nettles,New York,AL
SS,Mark Belanger,Baltimore,AL
OF,Dwight Evans,Boston,AL
OF,Rick Miller,California,AL
OF,Fred Lynn,Boston,AL
1977,,,AL
P,Jim Palmer,Baltimore,AL
C,Jim Sundberg,Texas,AL
1B,Jim Spencer,Chicago,AL
2B,Frank White,Kansas City,AL
3B,Graig Nettles,New York,AL
SS,Mark Belanger,Baltimore,AL
