Player,Team,Date announced,Drug,Penalty,Position,Response,Ref.
Alex Sánchez,Tampa Bay Devil Rays,3-Apr-05,,10 days,OF,[a],[5]
Agustín Montero,Texas Rangers,20-Apr-05,,10 days,P,[b],[7]
Jamal Strong,Seattle Mariners,26-Apr-05,,10 days,OF,[c],[9]
Juan Rincón,Minnesota Twins,2-May-05,,10 days,P,[d],[9]
Rafael Betancourt,Cleveland Indians,8-Jul-05,,10 days,P,[e],[12]
Rafael Palmeiro,Baltimore Orioles,1-Aug-05,Stanozolol,10 days,DH,[f],[14]
Ryan Franklin,Seattle Mariners,2-Aug-05,,10 days,P,[g],[16]
Mike Morse,Seattle Mariners,7-Sep-05,,10 days,SS,[h],[18]
Carlos Almanzar,Texas Rangers,4-Oct-05,,10 days,P,[i],[20]
Félix Heredia,New York Mets,18-Oct-05,,10 days,P,[j],[22]
Matt Lawton,New York Yankees,2-Nov-05,,10 days,OF,[k],[24]
Yusaku Iriki,New York Mets,28-Apr-06,,50 games,P,[l],[26]
Jason Grimsley,Arizona Diamondbacks,12-Jun-06,,50 games,P,[m],[28]
Guillermo Mota,New York Mets,1-Nov-06,,50 games,P,[n],[30]
Juan Salas,Tampa Bay Devil Rays,7-May-07,,50 games,P,[o],[32]
Neifi Pérez,Detroit Tigers,6-Jul-07,,25 games,UT,[p],[35]
Neifi Pérez,Detroit Tigers,3-Aug-07,,80 games,UT,[p],[36]
Mike Cameron,San Diego Padres,31-Oct-07,,25 games,OF,[q],[38]
Dan Serafini,Colorado Rockies,27-Nov-07,,50 games,P,[r],[40]
José Guillén,Kansas City Royals,6-Dec-07,,15 games,OF,[s],[42]
Jay Gibbons,Baltimore Orioles,6-Dec-07,,15 games,OF,[t],[44]
Eliézer Alfonzo,San Francisco Giants,30-Apr-08,,50 games,C,[u],[45]
J. C. Romero,Philadelphia Phillies,6-Jan-09,,50 games,P,[v],[47]
Manny Ramirez,Los Angeles Dodgers,7-May-09,,50 games,OF,[w],[49]
Edinson Vólquez,Cincinnati Reds,20-Apr-10,,50 games,P,[x],[51]
Manny Ramirez,Tampa Bay Rays,8-Apr-11,,100 games,OF,[y],[52]
Eliézer Alfonzo,Colorado Rockies,14-Sep-11,,48 games[A],C,,[53]
Guillermo Mota,San Francisco Giants,7-May-12,,100 games,P,,[54]
Freddy Galvis,Philadelphia Phillies,19-Jun-12,Clostebol,50 games,UT,[z],[55]
Marlon Byrd,Free agent,25-Jun-12,Tamoxifen,50 games,OF,[aa],[56]
Melky Cabrera,San Francisco Giants,15-Aug-12,Testosterone,50 games,OF,[ab],[57]
Bartolo Colón,Oakland Athletics,22-Aug-12,Testosterone,50 games,P,[ac],[58]
Yasmani Grandal,San Diego Padres,7-Nov-12,Testosterone,50 games,C,[ad],[60]
Carlos Ruiz,Philadelphia Phillies,27-Nov-12,,25 games,C,[ae],[61]
Ryan Braun,Milwaukee Brewers,22-Jul-13,,Season (65 games),OF,[af],[62]
Nelson Cruz,Texas Rangers,5-Aug-13,,50 games,OF,[ag],[63]
Jhonny Peralta,Detroit Tigers,5-Aug-13,,50 games,SS,[ah],[64]
Everth Cabrera,San Diego Padres,5-Aug-13,,50 games,SS,,[65]
Antonio Bastardo,Philadelphia Phillies,5-Aug-13,,50 games,P,[ai],[66]
Francisco Cervelli,New York Yankees,5-Aug-13,,50 games,C,[aj],[67]
Alex Rodriguez,New York Yankees,5-Aug-13,,2014 season (162 games)^[B],3B,[ak],[70]
Miguel Tejada,Kansas City Royals,17-Aug-13,Amphetamine,105 games^,UT,[al],[72]
Troy Patton,Baltimore Orioles,20-Dec-13,Amphetamine,25 games,P,[am],[73]
Cameron Maybin,San Diego Padres,23-Jul-14,,25 games,OF,[an],[74]
David Rollins,Seattle Mariners,27-Mar-15,,80 games,P,,
Ervin Santana,Minnesota Twins,3-Apr-15,Stanozolol,80 games,P,[ao],[75]
Jenrry Mejía,New York Mets,11-Apr-15,Stanozolol,80 games,P,[ap],[76]
Andrew McKirahan,Atlanta Braves,20-Apr-15,Ipamorelin,80 games,P,[aq],[77]
Jenrry Mejía,New York Mets,28-Jul-15,"Boldenone, Stanozolol",162 games^,P,,[78]
Cody Stanley,St. Louis Cardinals,12-Sep-15,,80 games,C,,[79]
Jenrry Mejía,New York Mets,12-Feb-16,Boldenone,Lifetime Ban^,P,,
Abraham Almonte,Cleveland Indians,26-Feb-16,Boldenone,80 games,OF,,
Daniel Stumpf,Philadelphia Phillies,14-Apr-16,Turinabol,80 games,P,,[80]
Chris Colabello,Toronto Blue Jays,22-Apr-16,Turinabol,80 games,1B,[ar],[82]
Dee Gordon,Miami Marlins,29-Apr-16,"Clostebol, Testosterone",80 games,2B,,[83]
Josh Ravin,Los Angeles Dodgers,2-May-16,Pralmorelin,80 games,P,,[84]
Raul A. Mondesi,Kansas City Royals,10-May-16,,50 games[C],SS,,[85]
Marlon Byrd,Cleveland Indians,1-Jun-16,Ipamorelin,162 games^,OF,,[86]
Alec Asher,Philadelphia Phillies,16-Jun-16,Turinabol,80 games,P,,[87]
