Year,League,P,C,1B,2B,3B,SS,OF,OF,OF,Other
2013,AL,Dickey,Perez,Hosmer,Pedroia,Machado,Hardy,Victorino,Gordon,Jones,
2012,AL,Hellickson,Wieters,Teixeira,Cano,Beltre,Hardy,Reddick,Gordon,Jones,Peavy
2011,AL,Buehrle,Wieters,Gonzalez,Pedroia,Beltre,Aybar,Markakis,Gordon,Ellsbury,
2010,AL,Buehrle,Mauer,Teixeira,Cano,Longoria,Jeter,Gutierrez,Crawford,Suzuki,
2009,AL,Buehrle,Mauer,Teixeira,Polanco,Longoria,Jeter,Hunter,Jones,Suzuki,
2008,AL,Mussina,Mauer,Pena,Pedroia,Beltre,Young,Hunter,Sizemore,Suzuki,
2007,AL,Santana,Rodriguez,Youkilis,Polanco,Beltre,Cabrera,Hunter,Sizemore,Suzuki,
2006,AL,Rogers,Rodriguez,Teixeira,Grudzielanek,Chavez,Jeter,Hunter,Wells,Suzuki,
2005,AL,Rogers,Varitek,Teixeira,Hudson,Chavez,Jeter,Hunter,Wells,Suzuki,
2004,AL,Rogers,Rodriguez,Erstad,Boone,Chavez,Jeter,Hunter,Wells,Suzuki,
2003,AL,Mussina,Molina,Olerud,Boone,Chavez,Rodriguez,Hunter,Cameron,Suzuki,
2002,AL,Rogers,Molina,Olerud,Boone,Chavez,Rodriguez,Hunter,Erstad,Suzuki,
2001,AL,Mussina,Rodriguez,Mientkiewicz,Alomar,Chavez,Vizquel,Hunter,Cameron,Suzuki,
2000,AL,Rogers,Rodriguez,Olerud,Alomar,Fryman,Vizquel,Erstad,Dye,Williams,
1999,AL,Mussina,Rodriguez,Palmeiro,Alomar,Brosius,Vizquel,Green,Griffey,Williams,
1998,AL,Mussina,Rodriguez,Palmeiro,Alomar,Ventura,Vizquel,Edmonds,Griffey,Williams,
1997,AL,Mussina,Rodriguez,Palmeiro,Knoblauch,Williams,Vizquel,Edmonds,Griffey,Williams,
1996,AL,Mussina,Rodriguez,Snow,Alomar,Ventura,Vizquel,Buhner,Griffey,Lofton,
1995,AL,Langston,Rodriguez,Snow,Alomar,Boggs,Vizquel,White,Griffey,Lofton,
1994,AL,Langston,Rodriguez,Mattingly,Alomar,Boggs,Vizquel,White,Griffey,Lofton,
1993,AL,Langston,Rodriguez,Mattingly,Alomar,Ventura,Vizquel,White,Griffey,Lofton,
1992,AL,Langston,Rodriguez,Mattingly,Alomar,Ventura,Ripken,White,Griffey,Puckett,
1991,AL,Langston,Pena,Mattingly,Alomar,Ventura,Ripken,White,Griffey,Puckett,
1990,AL,Boddicker,Alomar,McGwire,Reynolds,Gruber,Guillen,Pettis,Griffey,Burks,
1989,AL,Saberhagen,Boone,Mattingly,Reynolds,Gaetti,Fernandez,Pettis,White,Puckett,
1988,AL,Langston,Boone,Mattingly,Reynolds,Gaetti,Fernandez,Pettis,White,Puckett,
1987,AL,Langston,Boone,Mattingly,White,Gaetti,Fernandez,Winfield,Barfield,Puckett,
1986,AL,Guidry,Boone,Mattingly,White,Gaetti,Fernandez,Pettis,Barfield,Puckett,
1985,AL,Guidry,Parrish,Mattingly,Whitaker,Brett,Griffin,Pettis,Winfield,Murphy,Evans
1984,AL,Guidry,Parrish,Murray,Whitaker,Bell,Trammell,Evans,Winfield,Murphy,
1983,AL,Guidry,Parrish,Murray,Whitaker,Bell,Trammell,Evans,Winfield,Murphy,
1982,AL,Guidry,Boone,Murray,White,Bell,Yount,Evans,Winfield,Murphy,
1981,AL,Norris,Sundberg,Squires,White,Bell,Trammell,Evans,Henderson,Murphy,
1980,AL,Norris,Sundberg,Cooper,White,Bell,Trammell,Lynn,Wilson,Murphy,
1979,AL,Palmer,Sundberg,Cooper,White,Bell,Burleson,Lynn,Evans,Lezcano,
1978,AL,Palmer,Sundberg,Chambliss,White,Nettles,Belanger,Lynn,Evans,Miller,
1977,AL,Palmer,Sundberg,Spencer,White,Nettles,Belanger,Beniquez,Cowens,Yastrzemski,
1976,AL,Palmer,Sundberg,Scott,Grich,Rodriguez,Belanger,Manning,Rudi,Evans,
1975,AL,Kaat,Munson,Scott,Grich,Robinson,Belanger,Blair,Rudi,Lynn,
1974,AL,Kaat,Munson,Scott,Grich,Robinson,Belanger,Blair,Rudi,Otis,
1973,AL,Kaat,Munson,Scott,Grich,Robinson,Belanger,Blair,Stanley,Otis,
1972,AL,Kaat,Fisk,Scott,Griffin,Robinson,Brinkman,Blair,Murcer,Berry,
1971,AL,Kaat,Fosse,Scott,Johnson,Robinson,Belanger,Blair,Otis,Yastrzemski,
1970,AL,Kaat,Fosse,Spencer,Johnson,Robinson,Aparicio,Blair,Stanley,Berry,
1969,AL,Kaat,Freehan,Pepitone,Johnson,Robinson,Belanger,Blair,Stanley,Yastrzemski,
1968,AL,Kaat,Freehan,Scott,Knoop,Robinson,Aparicio,Smith,Stanley,Yastrzemski,
1967,AL,Kaat,Freehan,Scott,Knoop,Robinson,Fregosi,Blair,Kaline,Yastrzemski,
1966,AL,Kaat,Freehan,Pepitone,Knoop,Robinson,Aparicio,Oliva,Kaline,Agee,
1965,AL,Kaat,Freehan,Pepitone,Richardson,Robinson,Versalles,Tresh,Kaline,Yastrzemski,
1964,AL,Kaat,Howard,Power,Richardson,Robinson,Aparicio,Landis,Kaline,Davalillo,
1963,AL,Kaat,Howard,Power,Richardson,Robinson,Versalles,Landis,Kaline,Yastrzemski,
1962,AL,Kaat,Battey,Power,Richardson,Robinson,Aparicio,Landis,Kaline,Mantle,
1961,AL,Lary,Battey,Power,Richardson,Robinson,Aparicio,Landis,Kaline,Piersall,
1960,AL,Shantz,Battey,Power,Fox,Robinson,Aparicio,Landis,Maris,Minoso,
1959,AL,Shantz,Lollar,Power,Fox,Malzone,Aparicio,Kaline,Jensen,Minoso,
1958,AL,Shantz,Lollar,Power,Bolling,Malzone,Aparicio,Kaline,Piersall,Siebern,
2013,NL,Wainwright,Molina,Goldschmidt,Phillips,Arenado,Simmons,Gonzalez,Parra,Gomez,
2012,NL,Buehrle,Molina,LaRoche,Barney,Headley,Rollins,Gonzalez,McCutchen,Heyward,
2011,NL,Kershaw,Molina,Votto,Phillips,Polanco,Tulowitzki,Parra,Kemp,Ethier,
2010,NL,Arroyo,Molina,Pujols,Phillips,Rolen,Tulowitzki,Gonzalez,Victorino,Bourn,
2009,NL,Wainwright,Molina,Gonzalez,Hudson,Zimmerman,Rollins,Kemp,Victorino,Bourn,
2008,NL,Maddux,Molina,Gonzalez,Phillips,Wright,Rollins,Beltran,Victorino,McLouth,
2007,NL,Maddux,Martin,Lee,Hudson,Wright,Rollins,Beltran,Jones,Francoeur,Rowand
2006,NL,Maddux,Ausmus,Pujols,Hudson,Rolen,Vizquel,Beltran,Jones,Cameron,
2005,NL,Maddux,Matheny,Lee,Castillo,Lowell,Vizquel,Edmonds,Jones,Abreu,
2004,NL,Maddux,Matheny,Helton,Castillo,Rolen,Izturis,Edmonds,Jones,Finley,
2003,NL,Hampton,Matheny,Lee,Castillo,Rolen,Renteria,Edmonds,Jones,Cruz,
2002,NL,Maddux,Ausmus,Helton,Vina,Rolen,Renteria,Edmonds,Jones,Walker,
2001,NL,Maddux,Ausmus,Helton,Vina,Rolen,Cabrera,Edmonds,Jones,Walker,
2000,NL,Maddux,Matheny,Snow,Reese,Rolen,Perez,Edmonds,Jones,Finley,
1999,NL,Maddux,Lieberthal,Snow,Reese,Ventura,Ordonez,Walker,Jones,Finley,
1998,NL,Maddux,Johnson,Snow,Boone,Rolen,Ordonez,Walker,Jones,Bonds,
1997,NL,Maddux,Johnson,Snow,Biggio,Caminiti,Ordonez,Walker,Mondesi,Bonds,
1996,NL,Maddux,Johnson,Grace,Biggio,Caminiti,Larkin,Finley,Grissom,Bonds,
1995,NL,Maddux,Johnson,Grace,Biggio,Caminiti,Larkin,Finley,Grissom,Mondesi,
1994,NL,Maddux,Pagnozzi,Bagwell,Biggio,Williams,Larkin,Lewis,Grissom,Bonds,
1993,NL,Maddux,Manwaring,Grace,Thompson,Williams,Bell,Walker,Grissom,Bonds,
1992,NL,Maddux,Pagnozzi,Grace,Lind,Pendleton,Smith,Walker,Van Slyke,Bonds,
1991,NL,Maddux,Pagnozzi,Clark,Sandberg,Williams,Smith,Gwynn,Van Slyke,Bonds,
1990,NL,Maddux,Santiago,Galarraga,Sandberg,Wallach,Smith,Gwynn,Van Slyke,Bonds,
1989,NL,Darling,Santiago,Galarraga,Sandberg,Pendleton,Smith,Gwynn,Van Slyke,Davis,
1988,NL,Hershiser,Santiago,Hernandez,Sandberg,Wallach,Smith,Dawson,Van Slyke,Davis,
1987,NL,Reuschel,LaValliere,Hernandez,Sandberg,Pendleton,Smith,Dawson,Gwynn,Davis,
1986,NL,Valenzuela,Davis,Hernandez,Sandberg,Schmidt,Smith,Murphy,Gwynn,McGee,
1985,NL,Reuschel,Pena,Hernandez,Sandberg,Wallach,Smith,Murphy,Dawson,McGee,
1984,NL,Andujar,Pena,Hernandez,Sandberg,Schmidt,Smith,Murphy,Dawson,Dernier,
1983,NL,Niekro,Pena,Hernandez,Sandberg,Schmidt,Smith,Murphy,Dawson,McGee,
1982,NL,Niekro,Carter,Hernandez,Trillo,Schmidt,Smith,Murphy,Dawson,Maddox,
1981,NL,Carlton,Carter,Hernandez,Trillo,Schmidt,Smith,Baker,Dawson,Maddox,
1980,NL,Niekro,Carter,Hernandez,Flynn,Schmidt,Smith,Winfield,Dawson,Maddox,
1979,NL,Niekro,Boone,Hernandez,Trillo,Schmidt,Concepcion,Winfield,Parker,Maddox,
1978,NL,Niekro,Boone,Hernandez,Lopes,Schmidt,Bowa,Valentine,Parker,Maddox,
1977,NL,Kaat,Bench,Garvey,Morgan,Schmidt,Concepcion,Geronimo,Parker,Maddox,
1976,NL,Kaat,Bench,Garvey,Morgan,Schmidt,Concepcion,Geronimo,Cedeno,Maddox,
1975,NL,Messersmith,Bench,Garvey,Morgan,Reitz,Concepcion,Geronimo,Cedeno,Maddox,
1974,NL,Messersmith,Bench,Garvey,Morgan,Rader,Concepcion,Geronimo,Cedeno,Bonds,
1973,NL,Gibson,Bench,Jorgensen,Morgan,Rader,Metzger,Davis,Cedeno,Bonds,
1972,NL,Gibson,Bench,Parker,Millan,Rader,Bowa,Davis,Cedeno,Clemente,
1971,NL,Gibson,Bench,Parker,Helms,Rader,Harrelson,Davis,Bonds,Clemente,
1970,NL,Gibson,Bench,Parker,Helms,Rader,Kessinger,Rose,Agee,Clemente,
1969,NL,Gibson,Bench,Parker,Millan,Boyer,Kessinger,Rose,Flood,Clemente,
1968,NL,Gibson,Bench,Parker,Beckert,Santo,Maxvill,Mays,Flood,Clemente,
1967,NL,Gibson,Hundley,Parker,Mazeroski,Santo,Alley,Mays,Flood,Clemente,
1966,NL,Gibson,Roseboro,White,Mazeroski,Santo,Alley,Mays,Flood,Clemente,
1965,NL,Gibson,Torre,White,Mazeroski,Santo,Cardenas,Mays,Flood,Clemente,
1964,NL,Shantz,Edwards,White,Mazeroski,Santo,Amaro,Mays,Flood,Clemente,
1963,NL,Shantz,Edwards,White,Mazeroski,Boyer,Wine,Mays,Flood,Clemente,
1962,NL,Shantz,Crandall,White,Hubbs,Davenport,Wills,Mays,Virdon,Clemente,
1961,NL,Shantz,Roseboro,White,Mazeroski,Boyer,Wills,Mays,Pinson,Clemente,
1960,NL,Haddix,Crandall,White,Mazeroski,Boyer,Banks,Mays,Aaron,Moon,
1959,NL,Haddix,Crandall,Hodges,Neal,Boyer,McMillan,Mays,Aaron,Brandt,
1958,NL,Haddix,Crandall,Hodges,Mazeroski,Boyer,McMillan,Mays,Aaron,Robinson,
1957,ML,Shantz,Lollar,Hodges,Fox,Malzone,McMillan,Mays,Kaline,Minoso,
