Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,VeteransCommittee,NegroLeagues,position,1B,RF,LF,CF,C,3B,2B,SS,DH,OF,AS.total,AS.percent,drugs,gold1,gold2,gold3,mvp1,mvp2,cy1,cy2,rookie,oneteam,Year,Votes,NumBallots
Greg Maddux,254,70,23,102.5,54.5,78.5,61.4,759,1591,103,272,5,84,11,34,0.171,0.191,0.205,0.395,5,355,227,3.16,132,1.143,744,740,0,5008.1,4726,353,999,3371,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,8,0.347826086956522,0,0,0,1,0,0,0,1,0,0,2014,NA,NA
Frank Thomas,194,60,19,69.9,43.5,56.8,54,2322,8199,1494,2468,521,1704,32,1667,0.301,0.419,0.555,0.974,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*3,0,0,0,0,DH,0,0,0,0,0,0,0,0,1,0,8,0.421052631578947,0,0,0,0,0,1,0,0,0,0,2014,NA,NA
Mike Mussina,121,54,18,79.1,42.7,61,61.4,537,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,5,0.277777777777778,0,0,0,1,0,0,0,0,0,0,2014,NA,NA
Tom Glavine,176,52,22,77.6,42.5,60.1,61.4,709,1323,93,246,1,90,1,101,0.186,0.244,0.21,0.454,22,305,203,3.54,118,1.314,682,682,0,4413.1,4298,356,1500,2607,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,10,0.454545454545455,0,0,0,0,0,0,0,1,0,0,2014,NA,NA
Jeff Kent,122,51,17,51.9,33.9,42.9,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*453/D6,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,5,0.294117647058824,0,0,0,0,1,0,0,0,0,0,2014,NA,NA
Kenny Rogers,66,29,20,48.1,33.9,41,61.4,763,66,5,9,0,4,1,4,0.136,0.186,0.182,0.368,-4,219,156,4.27,107,1.403,762,474,28,3302.2,3457,339,1175,1968,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,1,0,0,0,0,0,0,0,2014,NA,NA
Luis Gonzalez,103,48,19,48.2,32.1,40.2,53.2,2591,9157,1412,2591,354,1439,128,1155,0.283,0.367,0.479,0.845,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7/D9835,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,5,0.263157894736842,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Moises Alou,80,44,17,36.6,25.8,31.3,53.2,1942,7037,1109,2134,332,1287,106,737,0.303,0.369,0.516,0.885,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*98/D,0,0,0,0,LF,0,0,1,0,0,0,0,0,0,0,6,0.352941176470588,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Ray Durham,64,33,14,30.8,24.1,27.4,57,1975,7408,1249,2054,192,875,273,820,0.277,0.352,0.436,0.788,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4D/8,0,0,0,0,2B,0,0,0,0,0,0,1,0,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Hideo Nomo,24,14,12,18.4,21.2,19.8,61.4,324,485,22,65,4,26,0,13,0.134,0.156,0.192,0.348,-7,123,109,4.24,97,1.354,323,318,0,1976.1,1768,251,908,1918,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,1,0.0833333333333333,0,0,0,0,0,0,0,0,1,0,2014,NA,NA
Richie Sexson,46,21,12,15.3,17.2,16.3,54,1367,4928,748,1286,306,943,14,588,0.261,0.344,0.507,0.851,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*37D/9,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,2,0.166666666666667,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Paul Lo Duca,21,26,11,15.3,17.1,16.2,43.1,1082,3892,483,1112,80,481,20,266,0.286,0.337,0.409,0.746,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*237/D95,0,0,0,0,C,0,0,0,0,1,0,0,0,0,0,4,0.363636363636364,1,0,0,0,0,0,0,0,0,0,2014,NA,NA
Armando Benitez,73,14,15,15.1,15,15.1,34.4,762,8,0,0,0,2,0,0,0,0,0,0,-100,40,47,3.13,140,1.217,762,0,289,779,545,95,403,946,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,2,0.133333333333333,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Mike Timlin,49,8,18,16.9,12.4,14.7,34.4,1059,7,0,0,0,0,0,0,0,0,0,0,-100,75,73,3.63,125,1.283,1058,4,141,1204.1,1168,118,377,872,*1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
Sean Casey,38,19,12,13.7,14.7,14.2,54,1405,5066,690,1531,130,735,18,477,0.302,0.367,0.447,0.814,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,0,0,1B,1,0,0,0,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,2014,NA,NA
