Year,Name,Team,Pos,League
2013,Miguel Cabrera,Detroit,3B,AL
2012,Miguel Cabrera,Detroit,3B,AL
2011,Justin Verlander,Detroit,P,AL
2010,Josh Hamilton,Texas,OF,AL
2009,Joe Mauer,Minnesota,C,AL
2008,Dustin Pedroia,Boston,2B,AL
2007,Alex Rodriguez,New York,3B,AL
2006,Justin Morneau,Minnesota,1B,AL
2005,Alex Rodriguez,New York,3B,AL
2004,Vladimir Guerrero,Anaheim,RF,AL
2003,Alex Rodriguez,Texas,SS,AL
2002,Miguel Tejada,Oakland,SS,AL
2001,Ichiro Suzuki,Seattle,RF,AL
2000,Jason Giambi,Oakland,1B,AL
1999,Ivan Rodriguez,Texas,C,AL
1998,Juan Gonzalez,Texas,OF,AL
1997,Ken Griffey Jr.*,Seattle,OF,AL
1996,Juan Gonzalez,Texas,OF,AL
1995,Mo Vaughn,Boston,1B,AL
1994,Frank Thomas,Chicago,1B,AL
1993,Frank Thomas*,Chicago,1B,AL
1992,Dennis Eckersley,Oakland,P,AL
1991,Cal Ripken Jr.,Baltimore,SS,AL
1990,Rickey Henderson,Oakland,OF,AL
1989,Robin Yount,Milwaukee,OF,AL
1988,Jose Canseco*,Oakland,OF,AL
1987,George Bell,Toronto,OF,AL
1986,Roger Clemens,Boston,P,AL
1985,Don Mattingly,New York,1B,AL
1984,Willie Hernandez,Detroit,P,AL
1983,Cal Ripken Jr.,Baltimore,SS,AL
1982,Robin Yount,Milwaukee,SS,AL
1981,Rollie Fingers,Milwaukee,P,AL
1980,George Brett,Kansas City,3B,AL
1979,Don Baylor,California,OF,AL
1978,Jim Rice,Boston,OF,AL
1977,Rod Carew,Minnesota,1B,AL
1976,Thurman Munson,New York,C,AL
1975,Fred Lynn,Boston,OF,AL
1974,Jeff Burroughs,Texas,OF,AL
1973,Reggie Jackson*,Oakland,OF,AL
1972,Richie Allen,Chicago,1B,AL
1971,Vida Blue,Oakland,P,AL
1970,Boog Powell,Baltimore,1B,AL
1969,Harmon Killebrew,Minnesota,1B/3B,AL
1968,Denny McLain*,Detroit,P,AL
1967,Carl Yastrzemski,Boston,OF,AL
1966,Frank Robinson*,Baltimore,OF,AL
1965,Zoilo Versalles,Minnesota,SS,AL
1964,Brooks Robinson,Baltimore,3B,AL
1963,Elston Howard,New York,C,AL
1962,Mickey Mantle,New York,OF,AL
1961,Roger Maris,New York,OF,AL
1960,Roger Maris,New York,OF,AL
1959,Nellie Fox,Chicago,2B,AL
1958,Jackie Jensen,Boston,OF,AL
1957,Mickey Mantle,New York,OF,AL
1956,Mickey Mantle*,New York,OF,AL
1955,Yogi Berra,New York,C,AL
1954,Yogi Berra,New York,C,AL
1953,Al Rosen*,Cleveland,3B,AL
1952,Bobby Shantz,Philadelphia,P,AL
1951,Yogi Berra,New York,C,AL
1950,Phil Rizzuto,New York,SS,AL
1949,Ted Williams,Boston,OF,AL
1948,Lou Boudreau,Cleveland,SS,AL
1947,Joe DiMaggio,New York,OF,AL
1946,Ted Williams,Boston,OF,AL
1945,Hal Newhouser,Detroit,P,AL
1944,Hal Newhouser,Detroit,P,AL
1943,Spud Chandler,New York,P,AL
1942,Joe Gordon,New York,2B,AL
1941,Joe DiMaggio,New York,OF,AL
1940,Hank Greenberg,Detoit,OF,AL
1939,Joe DiMaggio,New York,OF,AL
1938,Jimmie Foxx,Boston,1B,AL
1937,Charlie Gehringer,Detroit,2B,AL
1936,Lou Gehrig,New York,1B,AL
1935,Hank Greenberg*,Detroit,1B,AL
1934,Mickey Cochrane,Detroit,C,AL
1933,Jimmie Foxx,Philadelphia,1B,AL
1932,Jimmie Foxx,Philadelphia,1B,AL
1931,Lefty Grove,Philadelphia,P,AL
2013,Andrew McCutchen,Pittsburgh,CF,NL
2012,Buster Posey,San Francisco,C,NL
2011,Ryan Braun,Milwaukee,LF,NL
2010,Joey Votto,Cincinnati,1B,NL
2009,Albert Pujols*,St. Louis,1B,NL
2008,Albert Pujols,St. Louis,1B,NL
2007,Jimmy Rollins,Philadelphia,SS,NL
2006,Ryan Howard,Philadelphia,1B,NL
2005,Albert Pujols,St. Louis,1B,NL
2004,Barry Bonds,San Francisco,LF,NL
2003,Barry Bonds,San Francisco,LF,NL
2002,Barry Bonds*,San Francisco,LF,NL
2001,Barry Bonds,San Francisco,LF,NL
2000,Jeff Kent,San Francisco,2B,NL
1999,Chipper Jones,Atlanta,3B,NL
1998,Sammy Sosa,Chicago,OF,NL
1997,Larry Walker,Colorado,OF,NL
1996,Ken Caminiti*,San Diego,3B,NL
1995,Barry Larkin,Cincinnati,SS,NL
1994,Jeff Bagwell*,Houston,1B,NL
1993,Barry Bonds,San Francisco,OF,NL
1992,Barry Bonds,Pittsburgh,OF,NL
1991,Terry Pendleton,Atlanta,3B,NL
1990,Barry Bonds,Pittsburgh,OF,NL
1989,Kevin Mitchell,San Francisco,OF,NL
1988,Kirk Gibson,Los Angeles,OF,NL
1987,Andre Dawson,Chicago,OF,NL
1986,Mike Schmidt,Philadelphia,3B,NL
1985,Willie McGee,St. Louis,OF,NL
1984,Ryne Sandberg,Chicago,2B,NL
1983,Dale Murphy,Atlanta,OF,NL
1982,Dale Murphy,Atlanta,OF,NL
1981,Mike Schmidt,Philadelphia,3B,NL
1980,Mike Schmidt*,Philadelphia,3B,NL
1979,Keith Hernandez,St. Louis,1B,NL
1979,Willie Stargell,Pittsburgh,1B,NL
1978,Dave Parker,Pittsburgh,OF,NL
1977,George Foster,Cincinnati,OF,NL
1976,Joe Morgan,Cincinnati,2B,NL
1975,Joe Morgan,Cincinnati,2B,NL
1974,Steve Garvey,Los Angeles,1B,NL
1973,Pete Rose,Cincinnati,OF,NL
1972,Johnny Bench,Cincinnati,C,NL
1971,Joe Torre,St. Louis,3B,NL
1970,Johnny Bench,Cincinnati,C,NL
1969,Willie McCovey,San Francisco,1B,NL
1968,Bob Gibson,St. Louis,P,NL
1967,Orlando Cepeda*,St. Louis,1B,NL
1966,Roberto Clemente,Pittsburgh,OF,NL
1965,Willie Mays,San Francisco,OF,NL
1964,Ken Boyer,St. Louis,3B,NL
1963,Sandy Koufax,Los Angeles,P,NL
1962,Maury Wills,Los Angeles,SS,NL
1961,Frank Robinson,Cincinnati,OF,NL
1960,Dick Groat,Pittsburgh,SS,NL
1959,Ernie Banks,Chicago,SS,NL
1958,Ernie Banks,Chicago,SS,NL
1957,Hank Aaron,Milwaukee,OF,NL
1956,Don Newcombe,Brooklyn,P,NL
1955,Roy Campanella,Brooklyn,C,NL
1954,Willie Mays,New York,OF,NL
1953,Roy Campanella,Brooklyn,C,NL
1952,Hank Sauer,Chicago,OF,NL
1951,Roy Campanella,Brooklyn,C,NL
1950,Jim Konstanty,Philadelphia,P,NL
1949,Jackie Robinson,Brooklyn,2B,NL
1948,Stan Musial,St. Louis,OF,NL
1947,Bob Elliott,Boston,3B,NL
1946,Stan Musial,St. Louis,1B,NL
1945,Phil Cavarretta,Chicago,1B,NL
1944,Marty Marion,St. Louis,SS,NL
1943,Stan Musial,St. Louis,OF,NL
1942,Mort Cooper,St. Louis,P,NL
1941,Dolph Camilli,Brooklyn,1B,NL
1940,Frank McCormick,Cincinnati,1B,NL
1939,Bucky Walters,Cincinnati,P,NL
1938,Ernie Lombardi,Cincinnati,C,NL
1937,Joe Medwick,St. Louis,OF,NL
1936,Carl Hubbell*,New York,P,NL
1935,Gabby Hartnett,Chicago,C,NL
1934,Dizzy Dean,St. Louis,P,NL
1933,Carl Hubbell,New York,P,NL
1932,Chuck Klein,Philadelphia,OF,NL
1931,Frankie Frisch,St. Louis,2B,NL
