Name,Games,From,To,Age,Pos,Team
Carl Yastrzemski,3308,1961,1983,21-43,*73D8/59,BOS
Stan Musial,3026,1941,1963,20-42,3798/1,STL
Cal Ripken,3001,1981,2001,20-40,*65/D,BAL
Brooks Robinson,2896,1955,1977,18-40,*5/46,BAL
Robin Yount,2856,1974,1993,18-37,*68D/73,MIL
Craig Biggio,2850,1988,2007,22-41,*4287/D9,HOU
Al Kaline,2834,1953,1974,18-39,*98D3/75,DET
Mel Ott,2730,1926,1947,17-38,*958/74,NYG
George Brett,2707,1973,1993,20-40,*5D3/796,KCR
Ernie Banks,2528,1953,1971,22-40,36/57,CHC
Dave Concepcion,2488,1970,1988,22-40,*645/381,CIN
Tony Gwynn,2440,1982,2001,22-41,*98/7D,SDP
Roberto Clemente,2433,1955,1972,20-37,*9/8745,PIT
Luke Appling,2422,1930,1950,23-43,*6/543,CHW
Mike Schmidt,2404,1972,1989,22-39,*53/64,PHI
Mickey Mantle,2401,1951,1968,19-36,*8397/645,NYY
Lou Whitaker,2390,1977,1995,20-38,*4/D,DET
Willie Stargell,2360,1962,1982,22-42,*73/98,PIT
Frank White,2324,1973,1990,22-39,*46/5D9,KCR
Charlie Gehringer,2323,1924,1942,21-39,*4/35,DET
Honus Wagner,2298,1901,1917,27-43,*63/957481,PIT
Derek Jeter,2295,1995,2010,21-36,*6/D,NYY
Alan Trammell,2293,1977,1996,19-38,*6/D5478,DET
Ted Williams,2292,1939,1960,20-41,*79/1,BOS
Chipper Jones,2261,1993,2010,21-38,*57/6D9,ATL
Bill Russell,2181,1969,1986,20-37,*69/8475,LAD
Barry Larkin,2180,1986,2004,22-40,*6/4D,CIN
Pee Wee Reese,2166,1940,1958,21-39,*65,BRO-LAD
Lou Gehrig,2164,1923,1939,20-36,*3/976,NYY
Bill Mazeroski,2163,1956,1972,19-35,*4/5,PIT
Johnny Bench,2158,1967,1983,19-35,*253/798,CIN
Jeff Bagwell,2150,1991,2005,23-37,*3/D9,HOU
Jim Rice,2089,1974,1989,21-36,*7D/98,BOS
Bernie Williams,2076,1991,2006,22-37,*8D/97,NYY
Edgar Martinez,2055,1987,2004,24-41,*D5/3,SEA
Mariano Rivera,978,,,,1,
Walter Johnson,802,,,,1,
Red Faber,669,,,,1,
Bob Stanley,637,,,,1,
Ted Lyons,594,,,,1,
Mel Harder,582,,,,1,
Bob Feller,570,,,,1,
Jim Palmer,558,,,,1,
John Hiller,545,,,,1,
Hooks Dauss,538,,,,1,
Carl Hubbell,535,,,,1,
Bob Gibson,528,,,,1,
Don Drysdale,518,,,,1,
Eddie Rommel,500,,,,1,
Whitey Ford,498,,,,1,
