Player,Team,Date announced,Year,Penalty,Position,Response
Alex Sanchez,Tampa Bay Devil Rays,4/3,2005,10 days,OF,[a]
Jorge Piedra,Colorado Rockies,4/11,2005,10 days,OF,[b]
Agustin Montero,Texas Rangers,4/20,2005,10 days,P,[c]
Jamal Strong,Seattle Mariners,4/26,2005,10 days,OF,[d]
Juan Rincon,Minnesota Twins,5/2,2005,10 days,P,[e]
Rafael Betancourt,Cleveland Indians,7/8,2005,10 days,P,[f]
Rafael Palmeiro,Baltimore Orioles,8/1,2005,10 days,DH,[g]
Ryan Franklin,Seattle Mariners,8/2,2005,10 days,P,[h]
Mike Morse,Seattle Mariners,9/7,2005,10 days,SS,[i]
Carlos Almanzar,Texas Rangers,10/4,2005,10 days,P,[j]
Felix Heredia,New York Mets,10/18,2005,10 days,P,[k]
Matt Lawton,New York Yankees,11/2,2005,10 days,OF,[l]
Yusaku Iriki,New York Mets,4/28,2006,50 games,P,[m]
Jason Grimsley,Arizona Diamondbacks,6/12,2006,50 games,P,[n]
Guillermo Mota,New York Mets,11/1,2006,100 games,P,[o]
Juan Salas,Tampa Bay Devil Rays,5/7,2007,50 games,P,[p]
Neifi Perez,Detroit Tigers,7/6,2007,25 games,UT,[q]
Neifi Perez,Detroit Tigers,8/3,2007,80 games,UT,[q]
Mike Cameron,San Diego Padres,10/31,2007,25 games,OF,[r]
Dan Serafini,Colorado Rockies,11/27,2007,50 games,P,[s]
Jose Guillen,Kansas City Royals,12/6,2007,15 games,OF,[t]
Jay Gibbons,Baltimore Orioles,12/6,2007,15 games,OF,[u]
Eliezer Alfonzo,San Francisco Giants,4/30,2008,50 games,C,[v]
J.C. Romero,Philadelphia Phillies,1/6,2009,50 games,P,[w]
Manny Ramirez,Los Angeles Dodgers,5/7,2009,50 games,OF,[x]
Edinson Volquez,Cincinnati Reds,4/20,2010,50 games,P,[y]
Manny Ramirez,Tampa Bay Rays,4/8,2011,100 games,OF,[z]
Eliezer Alfonzo,Colorado Rockies,9/14,2011,48 games[A],C,
Guillermo Mota,San Francisco Giants,5/7,2012,100 games,P,
Freddy Galvis,Philadelphia Phillies,6/19,2012,50 games,UT,
Marlon Byrd,Free agent,6/25,2012,50 games,OF,
Melky Cabrera,San Francisco Giants,8/15,2012,50 games,OF,
Bartolo Colon,Oakland Athletics,8/22,2012,50 games,P,
Yasmani Grandal,San Diego Padres,11/7,2012,50 games,C,[aa]
Carlos Ruiz,Philadelphia Phillies,11/27,2012,25 games,C,[ab]
Ryan Braun,Milwaukee Brewers,7/22,2013,Season (65 games),OF,
Nelson Cruz,Texas Rangers,8/5,2013,50 games,OF,[ac]
Jhonny Peralta,Detroit Tigers,8/5,2013,50 games,SS,[ad]
Everth Cabrera,San Diego Padres,8/5,2013,50 games,SS,
Antonio Bastardo,Philadelphia Phillies,8/5,2013,50 games,P,
Francisco Cervelli,New York Yankees,8/5,2013,50 games,C,
Alex Rodriguez,New York Yankees,8/5,2013,211 games[B],3B,
Miguel Tejada,Kansas City Royals,8/17,2013,105 games,UT,[ae]
