"name","war","hof","active","last"
"Babe Ruth",183.6,1,0,1935
"Cy Young",168.4,1,0,1912
"Walter Johnson",165.6,1,0,1928
"Barry Bonds",162.4,0,0,2007
"Willie Mays",156.2,1,0,1973
"Ty Cobb",151.1,1,0,1928
"Hank Aaron",142.6,1,0,1976
"Roger Clemens",140.3,0,0,2012
"Tris Speaker",133.7,1,0,1930
"Honus Wagner",131,1,0,1917
"Stan Musial",128.1,1,0,1963
"Rogers Hornsby",127,1,0,1944
"Eddie Collins",123.9,1,0,1930
"Ted Williams",123.2,1,0,1960
"Pete Alexander",120,1,0,1930
"Alex Rodriguez",117.7,0,0,2016
"Kid Nichols",116.4,1,0,1908
"Lou Gehrig",112.4,1,0,1939
"Rickey Henderson",110.8,1,0,2005
"Tom Seaver",110.5,1,0,1986
"Mickey Mantle",109.7,1,0,1968
"Mel Ott",107.8,1,0,1947
"Nap Lajoie",107.4,1,0,1918
"Frank Robinson",107.2,1,0,1976
"Greg Maddux",106.8,1,0,2008
"Mike Schmidt",106.5,1,0,1989
"Lefty Grove",103.6,1,0,1941
"Randy Johnson",102.1,1,0,2009
"Christy Mathewson",101.7,1,0,1916
"Albert Pujols",101.1,0,1,2016
"Joe Morgan",100.3,1,0,1984
"Warren Spahn",100.2,1,0,1967
"Jimmie Foxx",97.4,1,0,1947
"Phil Niekro",96.6,1,0,1987
"Eddie Mathews",96.4,1,0,1968
"Carl Yastrzemski",96.1,1,0,1983
"Cal Ripken",95.5,1,0,2001
"Bert Blyleven",95.3,1,0,1992
"Roberto Clemente",94.5,1,0,1972
"Cap Anson",93.8,1,0,1897
"Al Kaline",92.5,1,0,1974
"Wade Boggs",91.1,1,0,1999
"Gaylord Perry",91,1,0,1983
"Steve Carlton",90.4,1,0,1988
"Adrian Beltre",90.2,0,1,2016
"Bob Gibson",89.9,1,0,1975
"Eddie Plank",89.8,1,0,1917
"George Brett",88.4,1,0,1993
"Tim Keefe",86.6,1,0,1893
"Robin Roberts",86,1,0,1967
"Chipper Jones",85,0,0,2012
"Fergie Jenkins",84.9,1,0,1983
"George Davis",84.3,1,0,1910
"Roger Connor",84.1,1,0,1903
"John Clarkson",84,1,0,1894
"Pedro Martinez",84,1,0,2009
"Ken Griffey",83.6,1,0,2010
"Mike Mussina",83,0,0,2008
"Nolan Ryan",81.8,1,0,1993
"Tom Glavine",81.4,1,0,2009
"Rod Carew",81.1,1,0,1985
"Charlie Gehringer",80.6,1,0,1942
"Curt Schilling",79.9,0,0,2007
"Jeff Bagwell",79.6,0,0,2005
"Pete Rose",79.1,0,0,1986
"Brooks Robinson",78.4,1,0,1977
"Dan Brouthers",78.3,1,0,1906
"Joe DiMaggio",78.1,1,0,1951
"Robin Yount",77,1,0,1993
"Ozzie Smith",76.4,1,0,1996
"Bobby Wallace",76.3,1,0,1921
"Old Hoss Radbourn",76,1,0,1891
"Jim McCormick",75.8,0,0,1887
"Paul Molitor",75.4,1,0,1998
"Bill Dahlen",75.2,0,0,1911
"Sam Crawford",75.1,1,0,1921
"Johnny Bench",75,1,0,1983
"Lou Whitaker",74.9,0,0,1995
"Luke Appling",74.4,1,0,1950
"Reggie Jackson",73.8,1,0,1987
"Pud Galvin",73.7,1,0,1894
"Frank Thomas",73.7,1,0,2008
"Jim Thome",72.9,0,0,2012
"Arky Vaughan",72.9,1,0,1949
"Paul Waner",72.8,1,0,1946
"Larry Walker",72.6,0,0,2005
"Harry Heilmann",72.1,1,0,1932
"Derek Jeter",71.8,0,0,2014
"Rafael Palmeiro",71.6,0,0,2015
"Ted Lyons",71.5,1,0,1946
"Johnny Mize",71,1,0,1953
"Bobby Grich",70.9,0,0,1986
"Carlos Beltran",70.4,0,1,2016
"Frankie Frisch",70.4,1,0,1937
"Red Ruffing",70.4,1,0,1947
"Ron Santo",70.4,1,0,1974
"Alan Trammell",70.4,0,0,1996
"Barry Larkin",70.2,1,0,2004
"Rick Reuschel",70,0,0,1991
"Scott Rolen",70,0,0,2012
"Gary Carter",69.9,1,0,1992
"Miguel Cabrera",69.6,0,1,2016
"Ed Delahanty",69.5,1,0,1903
"John Smoltz",69.5,1,0,2009
"Jim Palmer",69.4,1,0,1984
"Amos Rusie",69.3,1,0,1901
"Manny Ramirez",69.2,0,0,2014
"Tim Raines",69.1,0,0,2002
"Tony Gwynn",68.8,1,0,2001
"Al Simmons",68.7,1,0,1944
"Ivan Rodriguez",68.4,0,0,2011
"Kevin Brown",68.3,0,0,2005
"Edgar Martinez",68.3,0,0,2004
"Eddie Murray",68.3,1,0,1997
"Carlton Fisk",68.2,1,0,1993
"Kenny Lofton",68.2,0,0,2007
"Graig Nettles",68,0,0,1988
"Fred Clarke",67.8,1,0,1915
"Tony Mullane",67.8,0,0,1902
"Carl Hubbell",67.5,1,0,1943
"Ryne Sandberg",67.5,1,0,1997
"Ernie Banks",67.4,1,0,1971
"Don Sutton",67.4,1,0,1988
"Don Drysdale",67.2,1,0,1969
"Dwight Evans",66.9,0,0,1991
"Roberto Alomar",66.8,1,0,2004
"Luis Tiant",66.7,0,0,1983
"Duke Snider",66.5,1,0,1964
"Joe Cronin",66.4,1,0,1945
"Pee Wee Reese",66.4,1,0,1958
"Buddy Bell",66.1,0,0,1989
"Goose Goslin",66.1,1,0,1940
"Willie Randolph",65.5,0,0,1992
"Ed Walsh",65.5,1,0,1920
"Craig Biggio",65.1,1,0,2007
"Red Faber",64.8,1,0,1933
"Roy Halladay",64.6,0,0,2013
"Reggie Smith",64.5,0,0,1984
"Andre Dawson",64.4,1,0,1996
"Willie McCovey",64.4,1,0,1980
"Chase Utley",64.4,0,1,2016
"John Ward",64,1,0,1894
"Dave Winfield",63.8,1,0,1995
